Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.9000558533297434,-0.4045883518642591,7.784999405598005,3.089053996988894,825925.0367159764,(1646656.2937578931+0j),(6.053818176868344e-07+0j),(1.0000572561530812+0j),(0.9999427428798923+0j),(-1.554318591887899+0j),(-0.6433687438463839+0j)
1,0.899885746425584,-0.40360217748114446,7.7833470261338285,3.089413507776173,838760.7896738888,(1677521.5793471816+0j),(5.96771100391337e-07+0j),(1.0000000015472805+6.214309950055685e-05j),(1.0000000015472805-6.214309950055685e-05j),(-1.5487054594473189+0j),(-0.6457005713383807+0j)
2,0.8997307544173949,-0.4027040472214098,7.781878665722777,3.089741025471777,853074.5478996235,(1706149.095798661+0j),(5.867572226429548e-07+0j),(0.9999070035817681+0j),(1.000093015766882+0j),(-1.5435376738141366+0j),(-0.6478623858457325+0j)
3,0.8995623081578259,-0.40172839654772646,7.7803231451039885,3.0900969196694508,868908.7961981749,(1737817.5923957746+0j),(5.770488348048381e-07+0j),(1.0000803179519229+0j),(0.9999196846320255+0j),(-1.5378617126438723+0j),(-0.650253525254114+0j)
4,0.8991948353590251,-0.39960153026534384,7.777075838448442,3.090873115707258,908417.2151728276,(1808966.2789791431+0j),(5.504078870907635e-07+0j),(1.0000000022468176+4.1392411298529685e-05j),(1.0000000022468176-4.1392411298529685e-05j),(-1.525254128720428+0j),(-0.655628449823586+0j)
5,0.8986533943350505,-0.39647149527858483,7.772658245828235,3.0920162421410504,960272.896904378,(1919165.8269556179+0j),(0.9999999977178979+5.2910280575441325e-05j),(0.9999999977178979-5.2910280575441325e-05j),(5.2068531936284e-07+0j),(-1.5060728572009525+0j),(-0.6639785022475629+0j)
6,0.897558456597046,-0.39015420213857355,7.765075564456608,3.0943258020232114,1083642.7657611668,(2163109.7553574992+0j),(0.9999999995663337+3.057690695773476e-05j),(0.9999999995663337-3.057690695773476e-05j),(4.614066699821495e-07+0j),(-0.6827154243941262+0j),(-1.4647391347389604+0j)
7,0.8940933550783747,-0.37024805921311105,7.7534273121079496,3.1016110854014984,1583956.594804252,(3162490.4915544945+0j),(3.1566521560007814e-07+0j),(0.9999922790188481+0j),(1.0000077210675418+0j),(-1.2975118646693007+0j),(-0.7707058619112271+0j)
8,0.8874797326264507,-0.33240631011059296,7.790169441830543,3.1153659667999225,3301950.6405598954,(6603901.281119639+0j),(1.5195339445029443e-07+0j),(1.0000198233771467+0j),(0.9999801771170616+0j),(-0.9300509729169824+0.36743052101883245j),(-0.9300509729169824-0.36743052101883245j)
9,0.8836950148176317,-0.31069466889503944,7.85517905332325,3.1231054732802956,5119342.673344143,(10201419.292846859+0j),(9.766878912080842e-08+0j),(1.0000483803037328+0j),(0.9999516216506097+0j),(-0.8370087731854512+0.5471894677445532j),(-0.8370087731854512-0.5471894677445532j)
10,0.8781686155821935,-0.27870946905818644,8.038045041673222,3.13415426558241,10439710.458961042,(19879090.201697335+0j),(1.0000395274269596+0j),(0.9999604766490445+0j),(4.789404859124427e-08+0j),(-0.5967893214927187+0.8023979721760569j),(-0.5967893214927187-0.8023979721760569j)
11,0.8750151025220003,-0.2602237836307165,8.220373997432734,3.1402838196846035,14847679.122361062,(29695358.24472209+0j),(0.9999999946848397+4.4136173191853415e-05j),(0.9999999946848397-4.4136173191853415e-05j),(4.130158323657089e-08+0j),(-0.3394527591675317+0.9406231042737243j),(-0.3394527591675317-0.9406231042737243j)
12,0.872956037120541,-0.24803471814483752,8.396351593431948,3.144200786458057,19255749.85013074,(38511499.70026146+0j),(2.8181296416627417e-08+0j),(1.0001578317606148+0j),(0.9998421623138846+0j),(-0.07362015709016481+0.9972863542985078j),(-0.07362015709016481-0.9972863542985078j)
13,0.8715357058509986,-0.23956543493527588,8.564901349771372,3.14685755766294,22493043.05761374,(44986086.11522746+0j),(2.5747423232490306e-08+0j),(0.9999999987554821+0.00013708226976232753j),(0.9999999987554821-0.00013708226976232753j),(0.1870877057569036+0.9823432141337388j),(0.1870877057569036-0.9823432141337388j)
14,0.8705331011977392,-0.23355586793655866,8.725885606310621,3.148708167932281,23892368.485157624,(47784736.970315225+0j),(1.0000000035363623+9.471297772436674e-05j),(1.0000000035363623-9.471297772436674e-05j),(2.118722365255614e-08+0j),(0.42998130972943205+0.9028377890204575j),(0.42998130972943205-0.9028377890204575j)
15,0.8697817627925563,-0.22903655575508222,8.890093737213977,3.1500798734087683,25373098.91536353,(45532252.534347735+0j),(1.0000000003655127+2.0683285260022274e-05j),(1.0000000003655127-2.0683285260022274e-05j),(1.9705909856255196e-08+0j),(0.6591712421356459+0.7519928680122788j),(0.6591712421356459-0.7519928680122788j)
16,0.8692713689870928,-0.2259609902122465,9.046639085276432,3.1510029205414556,18710179.66899566,(37420359.33799129+0j),(1.0001286982874678+0j),(0.9998712966965493+0j),(2.7453610581645945e-08+0j),(0.8491418481196571+0.5281648623033511j),(0.8491418481196571-0.5281648623033511j)
17,0.868942939438611,-0.22398268943913374,9.195819090100182,3.151591627684645,12248882.88173159,(24497765.76346314+0j),(4.909590297297658e-08+0j),(0.9999999975954882+0.00015950519423278613j),(0.9999999975954882-0.00015950519423278613j),(0.9955577795748753+0.0941525757902467j),(0.9955577795748753-0.0941525757902467j)
18,0.8687562756360533,-0.222863138566141,9.337946148001732,3.15192234859362,5043575.494079649,(10087150.9881592+0j),(1.0239475384279936e-07+0j),(0.9999326268936911+0j),(1.000067368968948+0j),(1.5499453662520368+0j),(0.6451840314979127+0j)
19,0.8686827905914509,-0.22243111832635204,9.473332893762793,3.15204832831373,268512.53091264487,(537025.0618234277+0j),(1.8622842404247666e-06+0j),(1.000030848599126+0j),(0.9999691514947866+0j),(1.7390102079667291+0j),(0.5750397527391135+0j)
20,0.8687013956746857,-0.2225592129015575,9.602285427611227,3.152008119189539,2959359.9104049797,(5866899.886385101+0j),(1.6895545494214344e-07+0j),(0.9999832647227851+0j),(1.0000167364757218+0j),(1.7997985032023776+0j),(0.555617752887738+0j)
21,0.8687960087537873,-0.2231494831790626,9.72510015019317,3.151830617801589,20096091.383450177,(40192182.76690033+0j),(2.7330195461531014e-08+0j),(1.0000000003201182+0.00022963709479389966j),(1.0000000003201182-0.00022963709479389966j),(1.761346708647731+0j),(0.567747391862332+0j)
22,0.8689539824861174,-0.22412437683777112,9.842062350487168,3.1515382069038007,60913572.895515084,(121827145.79103015+0j),(-1.286235188455105e-08+0j),(1.0001502511688918+0j),(0.9998497537680988+0j),(1.6340654482676684+0j),(0.6119705921572303+0j)
23,0.8691496306114814,-0.2253260499948697,9.946233273360114,3.1511772720752145,130168312.9567447,(260336625.9134894+0j),(-7.068274194497704e-09+0j),(1.000000008700997+0.0003632828966264292j),(1.000000008700997-0.0003632828966264292j),(1.4255893163616995+0j),(0.7014642916602355+0j)
24,0.8693837972926289,-0.22675982345703286,10.04543233230853,3.1507453670855035,239601071.7237314,(479202143.4474628+0j),(1.0000000591827594+0.00021910284403219802j),(1.0000000591827594-0.00021910284403219802j),(-8.583725189275733e-08+0j),(0.9887141573547+0.1498142685006847j),(0.9887141573547-0.1498142685006847j)
25,0.8696501787623896,-0.22838666417840947,10.139894151166661,3.1502534219380616,399781117.0520055,(799562234.104011+0j),(1.0007503257512007+0j),(0.9992495196373725+0j),(9.143533407562522e-08+0j),(0.9026355629705087+0.4304056696430812j),(0.9026355629705087-0.4304056696430812j)
26,0.869943316509013,-0.2301727671472112,10.229842803710062,3.1497109048315286,621374865.606977,(1242749731.213954+0j),(-3.4429427342559034e-07+0j),(1.0003119107710656+0j),(0.999688333921236+0j),(0.8088366943863279+0.588033333931155j),(0.8088366943863279-0.588033333931155j)
27,0.870258426267925,-0.23208854056325776,10.31549219436453,3.1491261458965374,914604881.2463883,(1829209762.4927766+0j),(-3.2782742809078746e-07+0j),(1.0007648323448095+0j),(0.9992354203238106+0j),(0.7103291251430655+0.7038696853633314j),(0.7103291251430655-0.7038696853633314j)
28,0.8705912781599429,-0.23410788855120912,10.397046454252372,3.148506559804213,1288722727.6974535,(2577445455.394907+0j),(-6.205140418444489e-07+0j),(1.00000005802428+0.0003705148360222581j),(1.00000005802428-0.0003705148360222581j),(0.6096034945023905+0.7927064901276234j),(0.6096034945023905-0.7927064901276234j)
29,0.8709189149225579,-0.2360915868002296,10.47056730357407,3.147894709898948,1723934393.9527261,(3447868787.9054523+0j),(9.628276291806515e-07+0j),(1.001010167444446+0j),(0.9989887787963629+0j),(0.5141427913934115+0.8577046053614097j),(0.5141427913934115-0.8577046053614097j)
30,0.8712552791177747,-0.23812420871893372,10.54057208284124,3.147264499276374,2242049029.252803,(4484098058.505606+0j),(-8.788583764625848e-07+0j),(1.001007055132624+0j),(0.9989935963541217+0j),(0.42008951152035123+0.9074826732839425j),(0.42008951152035123-0.9074826732839425j)
31,0.8715977308429366,-0.240189719281406,10.607228527217044,3.1466207296916253,2845738123.353531,(5691476246.707062+0j),(1.000541778942227+0j),(0.9994589657795538+0j),(-1.3384417385686352e-06+0j),(0.3284689659817788+0.9445147634562617j),(0.3284689659817788-0.9445147634562617j)
32,0.8719439269884847,-0.24227396953628777,10.670696536853876,3.145967719592342,3535865923.8957453,(7071731847.791491+0j),(1.0017102246343352+0j),(0.9982898877106657+0j),(-1.1366972642837297e-06+0j),(0.24003462044827176+0.9707643282415336j),(0.24003462044827176-0.9707643282415336j)
33,0.8722917952604858,-0.24436452595669847,10.73112851563444,3.1453093422123977,4311522051.835478,(8623044103.670956+0j),(1.0009963926457002+0j),(0.9990035927956767+0j),(4.057414659318604e-07+0j),(0.15531436717815805+0.9878650957231082j),(0.15531436717815805-0.9878650957231082j)
34,0.8726234530048433,-0.24635426140815508,10.786069518209972,3.1446795994125214,5128637362.023886,(10257274724.047771+0j),(1.001146000843272+0j),(0.9988553884926236+0j),(-3.345115762646325e-06+0j),(0.07829102674147548+0.9969305467943804j),(0.07829102674147548-0.9969305467943804j)
35,0.872952823499311,-0.2483270819811757,10.838383004268836,3.144052246135282,6015597054.186189,(12031194108.372377+0j),(1.001690569939478+0j),(0.9983057707938763+0j),(1.4582191678285507e-06+0j),(0.00529769356009091+0.9999859671230024j),(0.00529769356009091-0.9999859671230024j)
36,0.8732786815958271,-0.25027581652708986,10.888194800352869,3.143429691208781,6967303081.100662,(13934606162.201324+0j),(1.0019240698455074+0j),(0.9980756878886358+0j),(-5.04802105236468e-07+0j),(-0.06360938633928775+0.9979748724138907j),(-0.06360938633928775-0.9979748724138907j)
37,0.8735999765204167,-0.2521943690542255,10.935624750637844,3.1428140364768327,7977848738.298138,(15955697476.596275+0j),(1.0021144543433806+0j),(0.9978853885974972+0j),(-2.9314659167879465e-07+0j),(-0.12845032675532886+0.9917159439861963j),(-0.12845032675532886-0.9917159439861963j)
38,0.8739158163463312,-0.2540776163000359,10.98078698830658,3.1422070996186657,9040737628.44637,(18081475256.89274+0j),(0.9999989282124091+0.0020822009888013704j),(0.9999989282124091-0.0020822009888013704j),(2.515159656670082e-06+0j),(-0.18930270719478376+0.9819187772156688j),(-0.18930270719478376-0.9819187772156688j)
39,0.8742254532556315,-0.2559213113155314,11.02379019672935,3.1416104363813315,10149093684.759583,(20298187369.519165+0j),(1.0032331649296986+0j),(0.9967578274680581+0j),(1.0449676290238426e-05+0j),(-0.2462861504872602+0.9691971585173758j),(-0.2462861504872602-0.9691971585173758j)
40,0.8745282695666126,-0.25772199290276115,11.06473786066372,3.14102536223898,11295854222.487951,(22591708444.975903+0j),(1.0008076857905135+0j),(0.9991951227860926+0j),(-4.754507894338581e-06+0j),(-0.29954989851668756+0.9540806351135273j),(-0.29954989851668756-0.9540806351135273j)
